28.8	-1.46
29	-1.47
29.2	-1.48
29.4	-1.49
29.6	-1.5
29.8	-1.51
30	-1.52
30.2	-1.54
30.4	-1.55
30.6	-1.56
30.8	-1.58
31	-1.59
31.2	-1.6
31.4	-1.62
31.6	-1.63
31.8	-1.64
32	-1.66
32.2	-1.67
32.4	-1.68
32.6	-1.7
32.8	-1.71
33	-1.72
33.2	-1.74
33.4	-1.75
33.6	-1.76
33.8	-1.78
34	-1.79
34.2	-1.8
34.4	-1.82
34.6	-1.83
34.8	-1.84
35	-1.86
35.2	-1.87
35.4	-1.88
35.6	-1.9
35.8	-1.91
36	-1.92
36.2	-1.94
36.4	-1.95
36.6	-1.96
36.8	-1.98
37	-1.99
37.2	-2
37.4	-2.02
37.6	-2.03
37.8	-2.04
38	-2.06
38.2	-2.07
38.4	-2.08
38.6	-2.1
38.8	-2.11
39	-2.12
39.2	-2.14
39.4	-2.15
39.6	-2.16
39.8	-2.18
40	-2.19
40.2	-2.2
40.4	-2.22
40.6	-2.23
40.8	-2.24
41	-2.26
41.2	-2.27
41.4	-2.28
41.6	-2.3
41.8	-2.31
42	-2.32
42.2	-2.34
42.4	-2.35
42.6	-2.36
42.8	-2.38
43	-2.39
43.2	-2.4
43.4	-2.42
43.6	-2.43
43.8	-2.44
44	-2.46
44.2	-2.47
44.4	-2.48
44.6	-2.5
44.8	-2.51
45	-2.52
45.2	-2.54
45.4	-2.55
45.6	-2.56
45.8	-2.58
46	-2.59
46.2	-2.6
46.4	-2.62
46.6	-2.63
46.8	-2.64
47	-2.66
47.2	-2.67
47.4	-2.68
47.6	-2.7
47.8	-2.71
48	-2.72
48.2	-2.74
48.4	-2.75
48.6	-2.76
48.8	-2.78
49	-2.79
49.2	-2.8
49.4	-2.82
49.6	-2.83
49.8	-2.84
50	-2.86
50.2	-2.87
50.4	-2.88
50.6	-2.9
50.8	-2.91
51	-2.92
51.2	-2.94
51.4	-2.95
51.6	-2.96
51.8	-2.98
52	-2.99
52.2	-3
52.4	-3.02
52.6	-3.03
52.8	-3.04
53	-3.06
53.2	-3.07
53.4	-3.08
53.6	-3.1
53.8	-3.11
54	-3.12
54.2	-3.14
54.4	-3.15
54.6	-3.16
54.8	-3.18
55	-3.19
55.2	-3.2
55.4	-3.22
55.6	-3.23
55.8	-3.24
56	-3.26
56.2	-3.27
56.4	-3.28
56.6	-3.3
56.8	-3.31
57	-3.32
57.2	-3.34
57.4	-3.35
57.6	-3.36
57.8	-3.38
58	-3.39
58.2	-3.4
58.4	-3.42
58.6	-3.43
58.8	-3.44
59	-3.46
59.2	-3.47
59.4	-3.48
59.6	-3.5
59.8	-3.51
60	-3.52
60.2	-3.72
60.4	-3.92
60.6	-4.12
60.8	-4.32
61	-4.52
61.2	-4.72
61.4	-4.92
61.6	-5.12
61.8	-5.32
62	-5.52
62.2	-5.72
62.4	-5.92
62.6	-6.12
62.8	-6.32
63	-6.52
63.2	-6.72
63.4	-6.92
63.6	-7.12
63.8	-7.32
64	-7.52
64.2	-7.72
64.4	-7.92
64.6	-8.12
64.8	-8.32
65	-8.52

