mileage_m,normal_force_N,penetration_m,rail_irregularity_m,iterations
1.825000000000001621e-01,7.535397147666920500e+04,4.201445447492204582e-05,7.329318622454358920e-06,1.200000000000000000e+01
1.850000000000001643e-01,7.406607301414255926e+04,4.153435883136092521e-05,7.837478470739267449e-06,1.300000000000000000e+01
1.875000000000001665e-01,7.263832910678081680e+04,4.099886761501568251e-05,8.333553495294066652e-06,1.300000000000000000e+01
1.900000000000001688e-01,7.112089980954883504e+04,4.042587787998237888e-05,8.816778784387130615e-06,1.400000000000000000e+01
1.925000000000001710e-01,6.956557153502877918e+04,3.983433178609013684e-05,9.286409239647543020e-06,1.400000000000000000e+01
1.950000000000001732e-01,6.802373604912351584e+04,3.924354983425922146e-05,9.741720724952787177e-06,1.400000000000000000e+01
1.975000000000002032e-01,6.654457331022263679e+04,3.867257239235376873e-05,1.018201118299416193e-05,1.300000000000000000e+01
2.000000000000001776e-01,6.517350888616518205e+04,3.813953265575688583e-05,1.060660171779824258e-05,1.200000000000000000e+01
2.025000000000001521e-01,6.395098292031906749e+04,3.766108091582652675e-05,1.101483764153530835e-05,1.200000000000000000e+01
2.050000000000001543e-01,6.291153268110551289e+04,3.725187541694163432e-05,1.140608948400048992e-05,1.200000000000000000e+01
2.075000000000001288e-01,6.208316302400496352e+04,3.692415127252188738e-05,1.177975396321119352e-05,1.100000000000000000e+01
2.100000000000001310e-01,6.148696142684233200e+04,3.668737613721083135e-05,1.213525491562422995e-05,1.100000000000000000e+01
2.125000000000001055e-01,6.113690038254186948e+04,3.654799657782721356e-05,1.247204418453819325e-05,1.000000000000000000e+01
2.150000000000000799e-01,6.103977473881855985e+04,3.650927813636445699e-05,1.278960246531139415e-05,9.000000000000000000e+00
2.175000000000000822e-01,6.119522999874589732e+04,3.657123940666473939e-05,1.308744010609196645e-05,1.000000000000000000e+01
2.200000000000000566e-01,6.159585326344944770e+04,3.673067829907414403e-05,1.336509786282552448e-05,1.100000000000000000e+01
2.225000000000000311e-01,6.222732556001870398e+04,3.698128991304165669e-05,1.362214760737622323e-05,1.100000000000000000e+01
2.250000000000000333e-01,6.306865139708958304e+04,3.731387288153971296e-05,1.385819298766930406e-05,1.200000000000000000e+01
2.275000000000000078e-01,6.409250065369938966e+04,3.771662081842915156e-05,1.407287003883726192e-05,1.200000000000000000e+01
2.299999999999999822e-01,6.526570542278474750e+04,3.817549311829427158e-05,1.426584774442730296e-05,1.200000000000000000e+01
2.324999999999999845e-01,6.654995568706799531e+04,3.867465768688587796e-05,1.443682854680470798e-05,1.300000000000000000e+01
2.349999999999999589e-01,6.790272990516338905e+04,3.919699628369419038e-05,1.458554880596514688e-05,1.300000000000000000e+01
2.374999999999999611e-01,6.927847646285698283e+04,3.972465951822408517e-05,1.471177920604845501e-05,1.400000000000000000e+01
2.399999999999999356e-01,7.063003833356886753e+04,4.023965599219934150e-05,1.481532510892706345e-05,1.400000000000000000e+01
2.424999999999999101e-01,7.191028445291444950e+04,4.072445700838432024e-05,1.489602685432389395e-05,1.300000000000000000e+01
2.449999999999999123e-01,7.307388284018849663e+04,4.116259578788081225e-05,1.495376000599691834e-05,1.300000000000000000e+01
2.474999999999998868e-01,7.407912715827557258e+04,4.153923897471445073e-05,1.498843554361084396e-05,1.200000000000000000e+01
2.499999999999998890e-01,7.488970974459293939e+04,4.184170721794998197e-05,1.500000000000000038e-05,1.200000000000000000e+01
2.524999999999998357e-01,7.547632857611043437e+04,4.205992322685927896e-05,1.498843554361084565e-05,1.100000000000000000e+01
