631 	0.500 	145.590 
728 	0.500 	160.320 
116 	0.050 	96.057 
656 	0.500 	148.980 
727 	0.500 	160.080 
87 	0.116 	81.828 
395 	0.500 	116.780 
684 	0.500 	153.450 
345 	0.500 	110.800 
694 	0.500 	154.810 
5 	0.150 	49.438 
608 	0.500 	141.870 
360 	0.500 	112.360 
743 	0.500 	163.140 
449 	0.500 	125.350 
601 	0.500 	140.640 
105 	0.071 	90.870 
412 	0.500 	119.200 
92 	0.102 	84.661 
37 	0.150 	62.709 
321 	0.402 	108.910 
97 	0.094 	86.233 
734 	0.500 	161.310 
548 	0.500 	134.090 
2685 	0.500 	591.580 
667 	0.500 	150.890 
653 	0.500 	148.640 
376 	0.500 	114.100 
125 	0.050 	98.899 
4 	0.150 	49.396 
401 	0.500 	117.530 
138 	0.050 	101.660 
624 	0.500 	144.140 
84 	0.126 	79.774 
54 	0.150 	67.427 
415 	0.500 	119.650 
71 	0.150 	73.725 
647 	0.500 	147.910 
338 	0.500 	110.110 
688 	0.500 	153.900 
101 	0.082 	88.565 
43 	0.150 	63.890 
51 	0.150 	66.548 
261 	0.050 	104.510 
25 	0.150 	59.483 
725 	0.500 	159.850 
446 	0.500 	124.620 
430 	0.500 	121.950 
658 	0.500 	149.200 
471 	0.500 	129.580 
200 	0.050 	102.190 
12 	0.150 	54.285 
479 	0.500 	130.420 
691 	0.500 	154.330 
109 	0.058 	93.451 
44 	0.150 	63.961 
218 	0.050 	102.670 
629 	0.500 	145.160 
80 	0.135 	77.979 
438 	0.500 	123.170 
111 	0.055 	94.035 
789 	0.500 	172.630 
436 	0.500 	122.810 
3 	0.150 	48.249 
102 	0.076 	89.755 
476 	0.500 	130.060 
413 	0.500 	119.300 
75 	0.144 	76.272 
300 	0.258 	107.310 
705 	0.500 	156.590 
712 	0.500 	158.010 
269 	0.050 	104.960 
2624 	0.500 	569.370 
349 	0.500 	111.080 
589 	0.500 	139.160 
482 	0.500 	131.220 
454 	0.500 	126.150 
380 	0.500 	114.540 
36 	0.150 	62.623 
9 	0.150 	52.787 
551 	0.500 	134.450 
736 	0.500 	161.830 
419 	0.500 	120.130 
139 	0.050 	101.780 
289 	0.170 	106.330 
110 	0.057 	93.514 
634 	0.500 	146.000 
481 	0.500 	130.840 
701 	0.500 	155.810 
470 	0.500 	129.270 
325 	0.421 	109.120 
20 	0.150 	58.905 
304 	0.291 	107.680 
371 	0.500 	113.650 
61 	0.150 	69.529 
748 	0.500 	164.340 
649 	0.500 	148.120 
385 	0.500 	115.370 
2379 	0.500 	485.530 
661 	0.500 	149.760 
680 	0.500 	152.660 
761 	0.500 	166.730 
69 	0.150 	73.070 
447 	0.500 	124.750 
581 	0.500 	137.980 
817 	0.500 	177.740 
433 	0.500 	122.320 
79 	0.140 	77.017 
40 	0.150 	63.506 
13 	0.150 	54.365 
45 	0.150 	64.297 
112 	0.054 	94.126 
340 	0.500 	110.320 
369 	0.500 	113.470 
622 	0.500 	143.890 
1034 	0.500 	190.170 
704 	0.500 	156.160 
690 	0.500 	154.100 
225 	0.050 	102.920 
2558 	0.500 	546.610 
272 	0.064 	105.150 
411 	0.500 	118.760 
575 	0.500 	137.210 
320 	0.388 	108.760 
246 	0.050 	103.840 
566 	0.500 	136.070 
578 	0.500 	137.800 
428 	0.500 	121.520 
1033 	0.500 	189.870 
2402 	0.500 	494.120 
2 	0.150 	48.242 
740 	0.500 	162.530 
2657 	0.500 	581.940 
754 	0.500 	165.570 
718 	0.500 	158.720 
312 	0.344 	108.270 
1088 	0.500 	201.540 
686 	0.500 	153.650 
835 	0.500 	179.890 
2677 	0.500 	588.860 
453 	0.500 	126.070 
746 	0.500 	163.770 
90 	0.105 	84.029 
1154 	0.500 	210.100 
483 	0.500 	131.310 
473 	0.500 	129.730 
713 	0.500 	158.120 
1746 	0.500 	324.500 
452 	0.500 	125.920 
